Tender_ID,Title,Procuring_Agency,Procurement_Type,Time_Left,Status,View_Link,Tracker_Status
P48902,Calcium Gluconate Injection,Purchase Department (Pakistan Institute of Medical...,Goods - Request for Quotation,0h 0m Left,Apply,https://vendors.epads.gov.pk/federal/procurements/view/48902,Expired
P48905,Biometric Machine,Purchase Department (Pakistan Institute of Medical...,Goods - Request for Quotation,0h 0m Left,Apply,https://vendors.epads.gov.pk/federal/procurements/view/48905,Expired
P49505,Purchase of Disposable Glass/Cup,Pakistan Institute of Fashion and Design (Pakistan...,Goods - Petty Purchase,0h 0m Left,Apply,https://vendors.epads.gov.pk/federal/procurements/view/49505,Expired
P49106,Procurement of Hardware Material,"International Islamic University, Islamabad Campus...",Goods - Petty Purchase,0h 0m Left,Apply,https://vendors.epads.gov.pk/federal/procurements/view/49106,Expired
P49121,Procurement of Sanitary Material,"International Islamic University, Islamabad Campus...",Goods - Petty Purchase,0h 0m Left,Apply,https://vendors.epads.gov.pk/federal/procurements/view/49121,Expired
P49160,Procurement of Sanitary Items,"International Islamic University, Islamabad Campus...",Goods - Petty Purchase,0h 0m Left,Apply,https://vendors.epads.gov.pk/federal/procurements/view/49160,Expired
P49385,Purchase of IT Accessories,Pakistan Institute of Fashion and Design (Pakistan...,Goods - Petty Purchase,0h 0m Left,Apply,https://vendors.epads.gov.pk/federal/procurements/view/49385,Expired
P49475,Services Acquired for Social Media Marke...,Pakistan Institute of Fashion and Design (Pakistan...,Consultancy Services - Call for Three Quotation,0h 0m Left,Apply,https://vendors.epads.gov.pk/federal/procurements/view/49475,Expired
P44258,Misc items for NVL FY 2025-26,National Veterinary Laboratory NVL Islamabad (Mini...,Goods - Request for Quotation,0h 0m Left,Apply,https://vendors.epads.gov.pk/federal/procurements/view/44258,Expired
P49100,Chroma Paint,"PTV News Center, Islamabad (Pakistan Television Co...",Goods - Request for Quotation,0h 0m Left,Apply,https://vendors.epads.gov.pk/federal/procurements/view/49100,Expired
P40139,Calibration of Tools,Sui Northern Gas Pipelines Limited (SNGPL) Lahore ...,Non-Consultancy Services - Request for Quotation,0h 0m Left,Apply,https://vendors.epads.gov.pk/federal/procurements/view/40139,Expired
P41237,Procurement of Incoming Panel for 31.5/4...,Hazara Electric Supply Company (Hazara Electric Su...,Goods - Single Stage-One Envelope,0h 0m Left,Apply,https://vendors.epads.gov.pk/federal/procurements/view/41237,Expired
P47660,Purchase of consumables for Environmenta...,NUST School of Civil & Envirnomental Engineeering ...,Goods - Request for Quotation,0h 0m Left,Apply,https://vendors.epads.gov.pk/federal/procurements/view/47660,Expired
P48686,Procurement of New Car Tyres for Toyota ...,Private Power & Infrastructure Board (Private Powe...,Goods - Petty Purchase,0h 0m Left,Apply,https://vendors.epads.gov.pk/federal/procurements/view/48686,Expired
P48131,Procurement of ArcGIS Pro (Standard) Sof...,NDMA (National Disaster Management Authority (NDMA...,Non-Consultancy Services - Request for Quotation,"Jun 19, 2026 11:30 AM",,https://vendors.epads.gov.pk/federal/procurements/view/48131,Active
P48947,Lighting Accessories/Items,Survey of Pakistan (Survey of Pakistan),Goods - Request for Quotation,0h 0m Left,Apply,https://vendors.epads.gov.pk/federal/procurements/view/48947,Expired
P41258,Procurement of T&P and PPE,Hazara Electric Supply Company (Hazara Electric Su...,Goods - Single Stage-Two Envelope,0h 0m Left,Apply,https://vendors.epads.gov.pk/federal/procurements/view/41258,Expired
P14636,Procurment of 11 KV Outgoing Panel,Hazara Electric Supply Company (Hazara Electric Su...,Goods - Single Stage-One Envelope,0h 0m Left,Apply,https://vendors.epads.gov.pk/federal/procurements/view/14636,Expired
P48953,Purchase of miscellanous Other Items,NAB Balochistan Quetta (National Accountability Bu...,Goods - Petty Purchase,0h 0m Left,Apply,https://vendors.epads.gov.pk/federal/procurements/view/48953,Expired
P41108,SID Cable 4-C 120mm2 Armored,"Material Management Directorate, FESCO (Faisalabad...",Goods - Single Stage-One Envelope,0h 0m Left,Apply,https://vendors.epads.gov.pk/federal/procurements/view/41108,Expired
P41123,15 KV XLPE Power Cable S-C 500MCM 240mm2...,"Material Management Directorate, FESCO (Faisalabad...",Goods - Single Stage-One Envelope,0h 0m Left,Apply,https://vendors.epads.gov.pk/federal/procurements/view/41123,Expired
P40265,Procurement of Maintenance Kit for Print...,"Material Management Directorate, FESCO (Faisalabad...",Goods - Single Stage-One Envelope,0h 0m Left,Apply,https://vendors.epads.gov.pk/federal/procurements/view/40265,Expired
P49070,Purchase of Lab Consumables for ASAB (GH...,Atta-Ur-Rehman school of Applied Biosciences (ASAB...,Goods - Petty Purchase,0h 0m Left,Apply,https://vendors.epads.gov.pk/federal/procurements/view/49070,Expired
P49058,Purchase of Lab Consumables for ASAB (RK...,Atta-Ur-Rehman school of Applied Biosciences (ASAB...,Goods - Petty Purchase,0h 0m Left,Apply,https://vendors.epads.gov.pk/federal/procurements/view/49058,Expired
P49040,Purchase of Lab Consumables for ASAB (GH...,Atta-Ur-Rehman school of Applied Biosciences (ASAB...,Goods - Petty Purchase,0h 0m Left,Apply,https://vendors.epads.gov.pk/federal/procurements/view/49040,Expired
P41129,15 KV XLPE Power Cable S-C 500MCM 240mm2...,"Material Management Directorate, FESCO (Faisalabad...",Goods - Single Stage-One Envelope,0h 0m Left,Apply,https://vendors.epads.gov.pk/federal/procurements/view/41129,Expired
P48977,Purchase of Lab Consumables for ASAB (SM...,Atta-Ur-Rehman school of Applied Biosciences (ASAB...,Goods - Petty Purchase,0h 0m Left,Apply,https://vendors.epads.gov.pk/federal/procurements/view/48977,Expired
P48962,Purchase of Lab Consumables for ASAB (FA...,Atta-Ur-Rehman school of Applied Biosciences (ASAB...,Goods - Petty Purchase,0h 0m Left,Apply,https://vendors.epads.gov.pk/federal/procurements/view/48962,Expired
P41132,GS Wire 10mm,"Material Management Directorate, FESCO (Faisalabad...",Goods - Single Stage-One Envelope,0h 0m Left,Apply,https://vendors.epads.gov.pk/federal/procurements/view/41132,Expired
P41291,Procurement of 132KV Line C.Ts,Hazara Electric Supply Company (Hazara Electric Su...,Goods - Single Stage-One Envelope,0h 0m Left,Apply,https://vendors.epads.gov.pk/federal/procurements/view/41291,Expired
